userId,train_rating_count,segment
1,162,power
2,20,warm
3,27,warm
4,151,power
5,31,warm
6,220,power
7,1,cold
8,33,warm
9,32,warm
10,98,power
11,45,warm
12,22,warm
13,22,warm
14,34,warm
15,94,power
16,69,power
17,74,power
18,351,power
19,492,power
20,169,power
21,4,cold
22,83,power
23,85,power
24,77,power
25,18,warm
26,15,warm
27,94,power
28,399,power
29,57,power
30,4,cold
31,4,cold
32,71,power
33,109,power
34,60,power
35,16,warm
36,42,warm
37,4,cold
38,55,power
39,70,power
40,72,power
41,4,cold
42,308,power
43,80,power
44,34,warm
45,279,power
46,29,warm
47,98,power
48,23,warm
49,15,warm
50,217,power
51,251,power
52,4,cold
53,14,warm
54,23,warm
55,18,warm
56,3,cold
57,333,power
58,78,power
59,75,power
60,15,warm
61,27,warm
62,2,cold
63,190,power
64,362,power
65,24,warm
66,241,power
67,25,warm
68,882,power
69,32,warm
70,43,warm
71,24,warm
72,4,cold
73,147,power
74,124,power
75,48,warm
76,83,power
77,20,warm
78,43,warm
79,45,warm
80,117,power
81,18,warm
82,159,power
83,83,power
84,1,cold
85,24,warm
86,49,warm
87,2,cold
88,39,warm
89,363,power
90,38,warm
91,402,power
92,1,cold
93,68,power
94,39,warm
95,118,power
96,55,power
97,3,cold
98,64,power
99,37,warm
100,104,power
101,2,cold
102,39,warm
103,264,power
104,191,power
105,505,power
106,23,warm
107,24,warm
108,53,power
109,89,power
110,36,warm
111,452,power
112,46,warm
113,105,power
114,22,warm
115,78,power
116,2,cold
117,2,cold
118,15,warm
119,150,power
120,15,warm
121,3,cold
122,204,power
123,39,warm
124,35,warm
125,4,cold
126,27,warm
127,15,warm
128,23,warm
129,98,power
130,20,warm
131,48,warm
132,3,cold
133,2,cold
134,24,warm
135,195,power
136,3,cold
137,99,power
138,15,warm
139,3,cold
140,426,power
141,3,cold
142,27,warm
143,50,power
144,90,power
145,2,cold
146,4,cold
147,14,warm
148,4,cold
149,41,warm
150,18,warm
151,41,warm
152,4,cold
153,2,cold
154,24,warm
155,32,warm
156,279,power
157,3,cold
158,18,warm
159,68,power
160,1,cold
161,27,warm
162,27,warm
163,16,warm
164,25,warm
165,46,warm
166,133,power
167,121,power
168,66,power
169,4,cold
170,35,warm
171,57,power
172,3,cold
173,18,warm
174,47,warm
175,17,warm
176,25,warm
177,1,cold
178,54,power
179,48,warm
180,17,warm
181,83,power
182,684,power
183,40,warm
184,94,power
185,3,cold
186,1,cold
187,181,power
188,34,warm
189,14,warm
190,46,warm
191,59,power
192,15,warm
193,24,warm
194,2,cold
195,131,power
196,22,warm
197,24,warm
198,161,power
199,254,power
200,234,power
201,77,power
202,282,power
203,31,warm
204,58,power
205,4,cold
206,18,warm
207,14,warm
208,18,warm
209,1,cold
210,97,power
211,62,power
212,174,power
213,59,power
214,4,cold
215,69,power
216,115,power
217,429,power
218,2,cold
219,370,power
220,145,power
221,232,power
222,175,power
223,52,power
224,38,warm
225,52,power
226,355,power
227,66,power
228,18,warm
229,46,warm
230,97,power
231,17,warm
232,3,cold
233,2,cold
234,141,power
235,46,warm
236,21,warm
237,2,cold
238,31,warm
239,195,power
240,90,power
241,53,power
242,24,warm
243,25,warm
244,65,power
245,15,warm
246,2,cold
247,105,power
248,36,warm
249,732,power
250,19,warm
251,16,warm
252,27,warm
253,33,warm
254,1,cold
255,31,warm
256,122,power
257,14,warm
258,18,warm
259,20,warm
260,106,power
261,37,warm
262,40,warm
263,147,power
264,39,warm
265,114,power
266,126,power
267,40,warm
268,90,power
269,20,warm
270,28,warm
271,30,warm
272,22,warm
273,38,warm
274,942,power
275,282,power
276,29,warm
277,20,warm
278,14,warm
279,123,power
280,137,power
281,1,cold
282,166,power
283,4,cold
284,62,power
285,25,warm
286,74,power
287,106,power
288,738,power
289,17,warm
290,187,power
291,22,warm
292,312,power
293,15,warm
294,2,cold
295,29,warm
296,19,warm
297,50,power
298,657,power
299,16,warm
300,3,cold
301,80,power
302,22,warm
303,2,cold
304,151,power
305,474,power
306,2,cold
307,682,power
308,2,cold
309,72,power
310,45,warm
311,2,cold
312,156,power
313,238,power
314,90,power
315,23,warm
316,37,warm
317,132,power
318,615,power
319,24,warm
320,1,cold
321,39,warm
322,75,power
323,69,power
324,15,warm
325,3,cold
326,4,cold
327,34,warm
328,178,power
