alpha,rmse,mae
0.0,1.05677910342398,0.8106359982162762
0.01,1.0533180869534375,0.8083788059629157
0.02,1.049887293521522,0.806133379678535
0.03,1.0464870203770713,0.8039015295155474
0.04,1.0431175659830743,0.8016821889054726
0.05,1.039779229948485,0.7994768893193273
0.06,1.0364723129573277,0.7972852491324162
0.07,1.0331971166950664,0.7951051564909032
0.08,1.0299539437722076,0.7929410965791105
0.09,1.0267430976451148,0.7907937456047528
0.1,1.023564882534022,0.7886606472401287
0.11,1.0204196033382176,0.7865373662575506
0.12,1.0173075655483947,0.784431118636591
0.13,1.0142290751561582,0.782334503973189
0.14,1.0111844385606754,0.7802493608549247
0.15,1.008173962472479,0.7781771362100183
0.16,1.0051979538144153,0.7761205946337312
0.17,1.002256719619756,0.7740721991803793
0.18,0.9993505669274716,0.7720397463763534
0.19,0.9964798026746962,0.7700303529040543
0.2,0.9936447335863969,0.7680342149233556
0.21,0.9908456660622785,0.7660528271334054
0.22,0.9880829060609524,0.7640819340742493
0.23,0.9853567589814115,0.7621268741301788
0.24,0.9826675295418505,0.7601908419039014
0.25,0.9800155216558839,0.7582672081035923
0.26,0.9774010383062127,0.756362319213287
0.27,0.9748243814158063,0.7544770962921242
0.28,0.9722858517166615,0.7526091932373794
0.29,0.9697857486162169,0.7507579577523752
0.3,0.9673243700614994,0.7489257956195587
0.31,0.964902012401091,0.7471200699625666
0.32,0.9625189702450085,0.7453437550736945
0.33,0.9601755363225967,0.7435913778504336
0.34,0.9578720013385393,0.7418533156712468
0.35000000000000003,0.9556086538271036,0.7401329995138192
0.36,0.9533857800047353,0.7384316197298929
0.37,0.9512036636211322,0.7367559395713191
0.38,0.9490625858089278,0.7351072858929083
0.39,0.9469628249321254,0.7334821961224024
0.4,0.9449046564334264,0.7318764975279995
0.41000000000000003,0.9428883526806076,0.7302915516589176
0.42,0.9409141828121024,0.7287274589658659
0.43,0.9389824125819507,0.7271875810710526
0.44,0.9370933042042896,0.7256720330678409
0.45,0.9352471161975553,0.7241780110277816
0.46,0.9334441032285823,0.7227141957081518
0.47000000000000003,0.9316845159567795,0.7212848046710505
0.48,0.9299686008785796,0.7198888877753472
0.49,0.9282966001723508,0.7185229110072084
0.5,0.9266687515439732,0.7171850632429138
0.51,0.9250852880732804,0.7158794564866512
0.52,0.923546438061574,0.7146006559938372
0.53,0.9220524248804159,0.7133498375889906
0.54,0.9206034668219144,0.7121338818041003
0.55,0.9191997769507116,0.7109489313687606
0.56,0.9178415629578923,0.7097866307896563
0.5700000000000001,0.9165290270170241,0.7086458157227935
0.58,0.9152623656425501,0.7075298940307206
0.59,0.9140417695507463,0.7064399887848103
0.6,0.91286742352346,0.7053931715113835
0.61,0.9117395062748452,0.7043756852083849
0.62,0.9106581903213053,0.7033949247967786
0.63,0.9096236418548549,0.7024422709737316
0.64,0.908636020620106,0.7015225347835766
0.65,0.9076954797950864,0.7006380280603494
0.66,0.9068021658760859,0.6997902944783538
0.67,0.905956218566729,0.6989798500094843
0.68,0.9051577706714621,0.6982067605366125
0.6900000000000001,0.9044069479936416,0.6974700170634588
0.7000000000000001,0.9037038692383993,0.6967640884015596
0.71,0.9030486459204579,0.6960887096663412
0.72,0.902441382277059,0.6954458237605088
0.73,0.9018821751861622,0.6948253363246235
0.74,0.9013711140900598,0.6942406700194426
0.75,0.9009082809245489,0.6936985369284873
0.76,0.9004937500537882,0.6931925294625699
0.77,0.9001275882109606,0.6927270203380886
0.78,0.8998098544448516,0.6923049168499839
0.79,0.8995406000724411,0.6919171642652772
0.8,0.8993198686375986,0.6915718825427948
0.81,0.899147695875959,0.6912712946127605
0.8200000000000001,0.8990241096860431,0.6910040623494802
0.8300000000000001,0.8989491301066801,0.6907711585978773
0.84,0.8989227693007721,0.6905695651925075
0.85,0.8989450315454329,0.6904009359399441
0.86,0.8990159132285189,0.6902660974381546
0.87,0.8991354028515584,0.6901809669596655
0.88,0.8993034810390753,0.6901353118297816
0.89,0.899520120554288,0.6901236067625851
0.9,0.8997852863211541,0.6901387365992686
0.91,0.9000989354527199,0.6901876959472226
0.92,0.9004610172857211,0.690271907721935
0.93,0.90087147342137,0.6903924175084223
0.9400000000000001,0.901330237772251,0.6905567805136674
0.9500000000000001,0.9018372366152402,0.6907526896623472
0.96,0.9023923886503482,0.6909897861010197
0.97,0.9029956050653776,0.6912703908947436
0.98,0.9036467896062774,0.691595820275739
0.99,0.9043458386530643,0.6919540047952872
1.0,0.9050926413011733,0.6923444795540632
