generation,best_es_mse,mean_es_mse
0,0.7846255801808978,0.7967711618731304
1,0.7846255801808978,0.7942524610649716
2,0.7846255801808978,0.7879912551313557
3,0.7846255801808978,0.7893310803023572
4,0.7845928128610323,0.785913840942797
5,0.7845928128610323,0.7882255215541101
6,0.7845928128610323,0.7875278757469661
7,0.7845928128610323,0.7883066444496494
8,0.7845928128610323,0.7862914829921372
9,0.7845928128610323,0.7866301046384987
10,0.7845928128610323,0.7876984781342293
11,0.7845928128610323,0.7882520515409128
